Index,FileName,ImgLink,Brand,brandLink,Class,imgText
30,10950_Nick_Empire_054_2048x.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F10950_Nick_Empire_054_2048x.jpeg?v=1637829831298,DL 1961,https://www.dl1961.com/,"jeans, denim, modal, lyocell, inclusiveSizing, pets, dog, pants, dl1961, DL1961, inclusivesizing, inclusive",DL 1961 makes denim garments for fido to match with you too!
31,AdultwearPLPArtboard1copy20_1296x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FAdultwearPLPArtboard1copy20_1296x.webp?v=1637352004962,Petit Pli,https://shop.petitpli.com/,"reducedWaste, circularDesign, circulardesign, reducedwaste, maternity, petitpli, petitPli, PetitPli",Petit Pli's expanding fabric is perfect for maternitywear!
32,02_GRID_9.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F02_GRID_9.webp?v=1637351991253,Petit Pli,https://shop.petitpli.com/,"reducedWaste, circularDesign, childrens, petitpli, petitPli, PetitPli, circulardesign, reducedwaste",Petit Pli's expanding fabric is perfect for kids going through their growth spurts
33,20210202_04_Gilet-0252_1296x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F20210202_04_Gilet-0252_1296x.webp?v=1637351994114,Petit Pli,https://shop.petitpli.com/,"reducedWaste, circularDesign, shirt, petitpli, petitPli, PetitPli, circulardesign, reducedwaste",A top with the Petit Pli's signature body-conforming pleated fabric.
34,Printcloseup-2000px600kb-2_1296x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FPrintcloseup-2000px600kb-2_1296x.webp?v=1637352021196,Petit Pli,https://shop.petitpli.com/,"reducedWaste, circularDesign, recycledPlastic, petitpli, petitPli, PetitPli, circulardesign, reducedwaste",Let's take a look at a closeup of Petit Pli's pleated fabric!
35,P_Bundle_1296x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FP_Bundle_1296x.webp?v=1637352017673,Petit Pli,https://shop.petitpli.com/,"reducedWaste, circularDesign, shirt, pants, petitpli, petitPli, PetitPli, circulardesign, reducedwaste",A top and bottoms bundle made with the brand's signature pleated fabric and a funky pattern.
36,MSK-OB2-1080px_1080x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FMSK-OB2-1080px_1080x.webp?v=1637352013708,Petit Pli,https://shop.petitpli.com/,"reducedWaste, circularDesign, mask, petitpli, petitPli, PetitPli, circulardesign, reducedwaste",A mask made with the Petit Pli's signature pleated fabric.
37,CopyofSATPKTPLP-LR-Li-Fari3_1296x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FCopyofSATPKTPLP-LR-Li-Fari3_1296x.webp?v=1637352010579,Petit Pli,https://shop.petitpli.com/,"reducedWaste, circularDesign, bag, petitpli, petitPli, PetitPli, circulardesign, reducedwaste",A Petit Pli pack made with the brand's signature pleated fabric.
38,SATPKTPLP-LR-Sr_1296x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FSATPKTPLP-LR-Sr_1296x.webp?v=1637352024210,Petit Pli,https://shop.petitpli.com/,"reducedWaste, circularDesign, bag, petitpli, petitPli, PetitPli, circulardesign, reducedwaste",A Petit Pli pack made with the brand's signature pleated fabric.
39,AdultwearPLP2Artboard1copy10_1296x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FAdultwearPLP2Artboard1copy10_1296x.webp?v=1637351996402,Petit Pli,https://shop.petitpli.com/,"reducedWaste, circularDesign, shirt, petitpli, petitPli, PetitPli, circulardesign, reducedwaste",A Petit Pli shirt with the brand's signature body-conforming pleated fabric.
